Time,Temperature
2022-10-18 20:47:00,13.0
2022-10-18 20:52:00,13.3
2022-10-18 20:57:00,13.0
2022-10-18 21:02:00,12.8
2022-10-18 21:07:00,13.1
2022-10-18 21:12:00,13.3
2022-10-18 21:17:00,13.0
2022-10-18 21:22:00,12.8
2022-10-18 21:27:00,13.1
2022-10-18 21:32:00,13.2
2022-10-18 21:37:00,12.9
2022-10-18 21:42:00,12.8
2022-10-18 21:47:00,13.1
2022-10-18 21:52:00,13.2
2022-10-18 21:57:00,12.9
2022-10-18 22:02:00,12.8
2022-10-18 22:07:00,13.1
2022-10-18 22:12:00,13.2
2022-10-18 22:17:00,12.8
2022-10-18 22:22:00,12.8
2022-10-18 22:27:00,13.1
2022-10-18 22:32:00,13.2
2022-10-18 22:37:00,12.9
2022-10-18 22:42:00,12.9
2022-10-18 22:47:00,13.2
2022-10-18 22:52:00,13.2
2022-10-18 22:57:00,12.9
2022-10-18 23:02:00,12.9
2022-10-18 23:07:00,13.3
2022-10-18 23:12:00,13.1
2022-10-18 23:17:00,12.9
2022-10-18 23:22:00,12.9
2022-10-18 23:27:00,13.3
2022-10-18 23:32:00,13.1
2022-10-18 23:37:00,12.9
2022-10-18 23:42:00,13.1
2022-10-18 23:56:00,13.350000000000001
2022-10-18 23:57:00,12.9
2022-10-19 00:02:00,13.0
2022-10-19 00:06:00,13.3
2022-10-19 00:11:00,13.2
2022-10-19 00:17:00,12.9
2022-10-19 00:22:00,13.1
2022-10-19 00:27:00,13.4
2022-10-19 00:32:00,13.4
2022-10-19 00:37:00,13.0
2022-10-19 00:42:00,13.0
2022-10-19 00:47:00,13.4
2022-10-19 00:51:00,13.3
2022-10-19 00:56:00,13.0
2022-10-19 01:02:00,13.0
2022-10-19 01:07:00,13.3
2022-10-19 01:11:00,13.4
2022-10-19 01:17:00,13.1
2022-10-19 01:22:00,12.9
2022-10-19 01:27:00,13.3
2022-10-19 01:32:00,13.4
2022-10-19 01:36:00,13.1
2022-10-19 01:42:00,12.9
2022-10-19 01:47:00,13.2
2022-10-19 01:52:00,13.4
2022-10-19 01:57:00,13.1
2022-10-19 02:02:00,13.0
2022-10-19 02:07:00,13.3
2022-10-19 02:12:00,13.4
2022-10-19 02:17:00,13.1
2022-10-19 02:21:00,13.1
2022-10-19 02:26:00,13.4
2022-10-19 02:32:00,13.5
2022-10-19 02:37:00,13.1
2022-10-19 02:42:00,13.0
2022-10-19 02:47:00,13.3
2022-10-19 02:52:00,13.4
2022-10-19 02:57:00,13.1
2022-10-19 03:02:00,13.1
2022-10-19 03:07:00,13.3
2022-10-19 03:11:00,13.4
2022-10-19 03:26:00,13.133333333333333
2022-10-19 03:32:00,13.4
2022-10-19 03:37:00,13.1
2022-10-19 03:42:00,12.9
2022-10-19 03:47:00,13.3
2022-10-19 03:52:00,13.4
2022-10-19 03:57:00,13.2
2022-10-19 04:02:00,13.0
2022-10-19 04:06:00,13.3
2022-10-19 04:11:00,13.4
2022-10-19 04:17:00,13.1
2022-10-19 04:22:00,12.9
2022-10-19 04:27:00,13.1
2022-10-19 04:32:00,13.4
2022-10-19 04:37:00,13.2
2022-10-19 04:42:00,13.0
2022-10-19 04:47:00,13.2
2022-10-19 04:51:00,13.5
2022-10-19 04:56:00,13.3
2022-10-19 05:02:00,13.0
2022-10-19 05:06:00,13.1
2022-10-19 05:11:00,13.4
2022-10-19 05:17:00,13.3
2022-10-19 05:22:00,12.9
2022-10-19 05:27:00,13.1
2022-10-19 05:32:00,13.4
2022-10-19 05:37:00,13.3
